my_music_library
Title,Artist,Album,Genre,Year,Source
If I Can't Have You,Shawn Mendes,,Pop,2019,Manual Entry
C'mon Get It On (Radio Edit),Studio B,,Dance,2007,Manual Entry
I See Girls (Freemasons Mix),Studio B,,Dance,2005,Manual Entry
God Is a DJ,Faithless,,Dance,1998,Manual Entry
Insomnia,Faithless,,Dance,1995,Manual Entry
Die With A Smile,Lady Gaga & Bruno Mars,,Pop,2024,Manual Entry
Miserable Man,David Kushner,,Alternative,2022,Manual Entry
Breathe In Breathe Out,David Kushner,,Alternative,2022,Manual Entry
Love Worth Saving,David Kushner,,Alternative,2023,Manual Entry
Baddadan,Chase & Status feat. Irah Flowdan Takura,,Drum & Bass,2023,Manual Entry
The drug in me is you,Falling in reverse,,,,Manual Entr
S.O.B,Nathaniel Rateliff & the night sweats,,,,Manual Entr
Dirty Rave (Explicit),Ben Nicky & Restricted,,,,Manual Entr
Castles in the sky,"Ben Nicky, Dr Phunk, GESES & Fahjah",,,,Manual Entr
Coke & Bacardi,"LNY TNZ, Ben Nicky, The darkraver & Hans Glock ",,,,Manual Entr
Born Slippy (Nuxx) (Explicit),Underworld,,,,Manual Entr
(All along the) Watchtower,Devlin & Ed Sheeran,,,,Manual Entr
Rewind (Feat. Diane Birch),Devlin (feat. Diane Birch),,,,Manual Entr
Sweet Little Valentine,Ruby Darkrose,,,,Manual Entr
I knew you’d come back,Ruby Darkrose,,,,Manual Entr
STFUATTDLAGG,Ruby Darkrose,,,,Manual Entr
Everybody’s free (To wear sunscreen),Silver Screen Superstars,,,,Manual Entr
As we ran,The national parks,,,,Manual Entr
Tsunami (feat. Future & Travis Scott),DJ Snake (Feat. Future & Travis Scott),,,,Manual Entr
Even Flow (Explicit),Pearl Jam,,,,Manual Entr
I love it (Feat. Charlie XCX) (explicit),Icona Pop,,,,Manual Entr
Fuck you (feat. Devin the dude & Snoop Dogg),Dr. Dre,,,,Manual Entr
The great British bar off (Explicit),Devlin,,,,Manual Entr
Illest of our time (Explicit),Ren,,,,Manual Entr
Canter (Explicit),Gerry Cinnamon,,,,Manual Entr
Voices in my head,Anyma,,,,Manual Entr
Jump around,House of pain,,,,Manual Entr
APT.,ROSÉ,,,,Manual Entr
Beautiful Things,Benson Boone,,,,Manual Entr
A bar song (tipsy) (Explicit),Shaboozey,,,,Manual Entr
Would you go to bed with me,Campbell,,,,Manual Entr
Let me clear my throat,DJ Kool,,,,Manual Entr
Wolf Totum (Feat. Jacoby Shaddix of Papa Roach),The Hu,,,,Manual Entr
"These days (Feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,,,,Manual Entr
Coconut Skins,Damian Rice,,,,Manual Entr
Why don’t you get a job,The Offspring,,,,Manual Entr
Juicy (2005 remaster),The Notorious B.I.G,,,,Manual Entr
Freaky Deaky (Explicit),Tyga,,,,Manual Entr
Do all my friends hate me,Mckenna Grace,,,,Manual Entr
When you lose someone,Nina Nesbit,,,,Manual Entr
Faded ,Alan Walker,,,,Manual Entr
2002,Anne-Marie,,,,Manual Entr
Three little birds,Bob Marley,,,,Manual Entr
Dancing on my own ,Calum Scott,,,,Manual Entr
One call away,Charlie Puth,,,,Manual Entr
Cannonball,Damien Rice,,,,Manual Entr
Going under,Evanescence,,,,Manual Entr
My Hero,Foo Fighters,,,,Manual Entr
Basket Case,Green Day,,,,Manual Entr
Coincedance,Handsome Dancer,,,,Manual Entr
One too mnay,Keith Urban & Pink,,,,Manual Entr
Before you go,Lewis Capaldi,,,,Manual Entr
My Generation,Limp Bizkit,,,,Manual Entr
Fish,Mr. Scruff,,,,Manual Entr
Express yourself,N.W.A,,,,Manual Entr
Little Fluffy Clouds,The Orb,,,,Manual Entr
Raise your glass,Pink,,,,Manual Entr
The Only Exception,Paramore,,,,Manual Entr
Read All About It (Feat. Emeli Sandé),Professor Green,,,,Manual Entr
Under the Bridge,Red Hot Chilli Peppers,,,,Manual Entr
"Money Game, Pt. 2 (Explicit)",Ren,,,,Manual Entr
The Logical Song,Scooter,,,,Manual Entr
Treat you better,Shawn Mendes,,,,Manual Entr
Chasing Cars,Snow Patrol,,,,Manual Entr
Mike (desert island duvet),"Fred again.., The streets & Dermot Kennedy",,,,Manual Entr
Don’t laugh,Josh Wink,,,,Manual Entr
Marry Me,Train,,,,Manual Entr
Geordie in wonderland,The Wildhearts,,,,Manual Entr
No Ordinary Love,You + Me,,,,Manual Entr
